datum,Predsolski,Osnovnosolci,Srednjesolci,Studentje,Odrasli(M),Odrasli(Z),Upokojenci(M),Upokojenci(Z)
30. 05. 2014,0.0,0.0,0.0,2.0,9.0,8.0,5.0,6.0
31. 05. 2014,0.0,4.0,0.0,7.0,11.0,11.0,9.0,8.0
01. 06. 2014,0.0,2.0,1.0,3.0,21.0,19.0,14.0,14.0
03. 06. 2014,0.0,0.0,3.0,0.0,9.0,11.0,5.0,6.0
04. 06. 2014,0.0,1.0,0.0,1.0,5.0,7.0,4.0,7.0
05. 06. 2014,0.0,0.0,0.0,5.0,6.0,12.0,8.0,9.0
06. 06. 2014,0.0,0.0,0.0,2.0,7.0,4.0,6.0,3.0
07. 06. 2014,0.0,1.0,1.0,4.0,6.0,12.0,4.0,5.0
08. 06. 2014,0.0,0.0,1.0,5.0,6.0,5.0,6.0,4.0
10. 06. 2014,0.0,1.0,0.0,4.0,10.0,12.0,9.0,6.0
11. 06. 2014,0.0,1.0,3.0,2.0,6.0,6.0,1.0,5.0
12. 06. 2014,0.0,1.0,0.0,3.0,3.0,2.0,10.0,10.0
13. 06. 2014,0.0,0.0,1.0,0.0,3.0,4.0,7.0,10.0
14. 06. 2014,0.0,1.0,1.0,5.0,8.0,8.0,3.0,3.0
15. 06. 2014,1.0,1.0,0.0,8.0,4.0,4.0,4.0,5.0
16. 06. 2014,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0
17. 06. 2014,0.0,0.0,1.0,4.0,6.0,3.0,4.0,6.0
18. 06. 2014,0.0,0.0,1.0,6.0,2.0,5.0,1.0,2.0
19. 06. 2014,1.0,0.0,1.0,2.0,13.0,14.0,0.0,1.0
20. 06. 2014,0.0,0.0,0.0,5.0,4.0,6.0,5.0,10.0
22. 06. 2014,0.0,0.0,1.0,8.0,7.0,8.0,3.0,7.0
24. 06. 2014,0.0,0.0,2.0,0.0,13.0,11.0,8.0,5.0
25. 06. 2014,0.0,0.0,2.0,4.0,13.0,15.0,7.0,7.0
26. 06. 2014,0.0,1.0,0.0,1.0,8.0,9.0,3.0,7.0
27. 06. 2014,0.0,0.0,0.0,7.0,5.0,5.0,0.0,1.0
28. 06. 2014,0.0,0.0,0.0,3.0,5.0,5.0,0.0,2.0
29. 06. 2014,0.0,0.0,4.0,1.0,7.0,7.0,4.0,3.0
01. 07. 2014,1.0,3.0,0.0,0.0,4.0,2.0,7.0,10.0
02. 07. 2014,0.0,4.0,1.0,2.0,8.0,6.0,2.0,4.0
03. 07. 2014,0.0,1.0,0.0,1.0,8.0,12.0,5.0,7.0
04. 07. 2014,1.0,1.0,0.0,6.0,10.0,8.0,4.0,4.0
05. 07. 2014,0.0,0.0,0.0,3.0,10.0,11.0,4.0,5.0
06. 07. 2014,0.0,1.0,0.0,4.0,10.0,12.0,4.0,9.0
08. 07. 2014,0.0,1.0,0.0,3.0,8.0,8.0,7.0,6.0
09. 07. 2014,2.0,0.0,0.0,4.0,9.0,13.0,2.0,7.0
10. 07. 2014,0.0,1.0,25.0,23.0,15.0,14.0,3.0,5.0
11. 07. 2014,0.0,2.0,1.0,3.0,4.0,6.0,3.0,5.0
12. 07. 2014,1.0,1.0,0.0,3.0,8.0,8.0,1.0,3.0
13. 07. 2014,0.0,2.0,0.0,4.0,16.0,21.0,12.0,18.0
15. 07. 2014,0.0,0.0,0.0,4.0,6.0,9.0,2.0,2.0
16. 07. 2014,0.0,0.0,0.0,3.0,4.0,3.0,3.0,9.0
17. 07. 2014,0.0,2.0,0.0,8.0,7.0,9.0,6.0,8.0
18. 07. 2014,0.0,2.0,0.0,8.0,3.0,4.0,0.0,2.0
19. 07. 2014,0.0,2.0,0.0,5.0,6.0,5.0,2.0,0.0
20. 07. 2014,0.0,0.0,1.0,4.0,9.0,7.0,3.0,1.0
22. 07. 2014,0.0,0.0,1.0,13.0,18.0,13.0,2.0,2.0
23. 07. 2014,0.0,0.0,0.0,0.0,6.0,11.0,3.0,4.0
24. 07. 2014,0.0,2.0,1.0,8.0,9.0,11.0,2.0,3.0
25. 07. 2014,0.0,0.0,0.0,3.0,12.0,13.0,2.0,3.0
26. 07. 2014,0.0,0.0,0.0,7.0,11.0,12.0,5.0,8.0
27. 07. 2014,1.0,3.0,0.0,7.0,16.0,17.0,5.0,4.0
29. 07. 2014,0.0,1.0,1.0,18.0,11.0,8.0,3.0,10.0
30. 07. 2014,0.0,3.0,0.0,8.0,11.0,7.0,5.0,5.0
31. 07. 2014,0.0,2.0,0.0,9.0,9.0,10.0,0.0,6.0
01. 08. 2014,0.0,0.0,0.0,6.0,7.0,8.0,2.0,3.0
02. 08. 2014,0.0,0.0,0.0,3.0,4.0,5.0,3.0,3.0
03. 08. 2014,0.0,5.0,1.0,8.0,11.0,12.0,8.0,8.0
05. 08. 2014,0.0,0.0,2.0,10.0,25.0,12.0,1.0,3.0
06. 08. 2014,0.0,2.0,0.0,6.0,3.0,2.0,5.0,5.0
07. 08. 2014,0.0,2.0,0.0,7.0,6.0,7.0,7.0,11.0
08. 08. 2014,1.0,1.0,0.0,5.0,5.0,9.0,2.0,6.0
09. 08. 2014,0.0,0.0,0.0,8.0,9.0,12.0,5.0,5.0
10. 08. 2014,0.0,2.0,0.0,12.0,19.0,19.0,6.0,13.0
12. 08. 2014,0.0,0.0,1.0,6.0,10.0,15.0,10.0,13.0
13. 08. 2014,0.0,3.0,0.0,12.0,16.0,14.0,3.0,3.0
14. 08. 2014,0.0,0.0,0.0,12.0,18.0,22.0,3.0,4.0
15. 08. 2014,0.0,0.0,0.0,8.0,12.0,15.0,6.0,13.0
16. 08. 2014,0.0,0.0,0.0,8.0,11.0,11.0,5.0,4.0
17. 08. 2014,0.0,0.0,1.0,13.0,18.0,17.0,7.0,7.0
19. 08. 2014,0.0,3.0,1.0,4.0,9.0,8.0,2.0,4.0
20. 08. 2014,0.0,2.0,1.0,8.0,7.0,13.0,4.0,4.0
21. 08. 2014,1.0,2.0,1.0,5.0,20.0,20.0,5.0,16.0
22. 08. 2014,1.0,4.0,0.0,8.0,13.0,8.0,6.0,7.0
23. 08. 2014,1.0,3.0,1.0,29.0,16.0,23.0,10.0,8.0
24. 08. 2014,1.0,0.0,0.0,6.0,14.0,6.0,1.0,4.0
26. 08. 2014,0.0,2.0,1.0,8.0,7.0,12.0,5.0,2.0
27. 08. 2014,0.0,0.0,0.0,9.0,8.0,6.0,5.0,2.0
28. 08. 2014,0.0,3.0,0.0,5.0,7.0,10.0,2.0,4.0
29. 08. 2014,0.0,4.0,0.0,2.0,14.0,18.0,7.0,4.0
30. 08. 2014,0.0,0.0,0.0,15.0,13.0,14.0,2.0,3.0
31. 08. 2014,1.0,2.0,0.0,5.0,12.0,14.0,5.0,4.0
02. 09. 2014,0.0,0.0,0.0,11.0,16.0,12.0,10.0,7.0
03. 09. 2014,0.0,0.0,0.0,3.0,5.0,5.0,6.0,3.0
04. 09. 2014,0.0,0.0,1.0,4.0,9.0,10.0,1.0,2.0
05. 09. 2014,0.0,0.0,0.0,4.0,5.0,5.0,2.0,3.0
06. 09. 2014,0.0,1.0,0.0,1.0,9.0,13.0,3.0,3.0
07. 09. 2014,0.0,1.0,0.0,5.0,11.0,7.0,6.0,5.0
09. 09. 2014,0.0,0.0,1.0,6.0,8.0,5.0,9.0,6.0
10. 09. 2014,0.0,0.0,0.0,2.0,12.0,14.0,5.0,6.0
11. 09. 2014,0.0,0.0,0.0,7.0,12.0,9.0,7.0,6.0
12. 09. 2014,0.0,0.0,0.0,2.0,4.0,3.0,4.0,6.0
13. 09. 2014,1.0,0.0,2.0,8.0,18.0,15.0,5.0,7.0
14. 09. 2014,0.0,1.0,0.0,3.0,9.0,9.0,7.0,11.0
16. 09. 2014,0.0,0.0,0.0,1.0,8.0,8.0,9.0,8.0
17. 09. 2014,0.0,0.0,0.0,6.0,8.0,6.0,5.0,8.0
18. 09. 2014,0.0,0.0,5.0,3.0,7.0,13.0,6.0,4.0
19. 09. 2014,0.0,0.0,16.0,3.0,5.0,4.0,4.0,1.0
20. 09. 2014,0.0,0.0,2.0,4.0,3.0,4.0,9.0,9.0
21. 09. 2014,0.0,3.0,0.0,1.0,13.0,7.0,1.0,1.0
23. 09. 2014,0.0,0.0,3.0,5.0,3.0,5.0,7.0,7.0
24. 09. 2014,0.0,0.0,1.0,5.0,4.0,0.0,4.0,6.0
25. 09. 2014,0.0,0.0,2.0,6.0,11.0,10.0,11.0,11.0
26. 09. 2014,0.0,0.0,4.0,1.0,1.0,2.0,3.0,3.0
27. 09. 2014,0.0,3.0,0.0,6.0,10.0,12.0,5.0,9.0
28. 09. 2014,0.0,2.0,0.0,1.0,11.0,7.0,14.0,13.0
30. 09. 2014,0.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0
01. 10. 2014,0.0,0.0,0.0,4.0,3.0,2.0,6.0,10.0
02. 10. 2014,0.0,0.0,0.0,0.0,5.0,8.0,3.0,2.0
03. 10. 2014,0.0,0.0,1.0,6.0,3.0,1.0,3.0,4.0
04. 10. 2014,0.0,2.0,26.0,2.0,9.0,5.0,6.0,5.0
05. 10. 2014,0.0,1.0,0.0,2.0,4.0,14.0,6.0,3.0
07. 10. 2014,0.0,1.0,0.0,0.0,4.0,5.0,6.0,1.0
08. 10. 2014,0.0,0.0,0.0,0.0,5.0,5.0,5.0,6.0
09. 10. 2014,0.0,0.0,0.0,3.0,5.0,3.0,6.0,6.0
10. 10. 2014,0.0,0.0,0.0,6.0,5.0,7.0,4.0,3.0
11. 10. 2014,0.0,0.0,0.0,3.0,6.0,3.0,2.0,2.0
12. 10. 2014,0.0,1.0,0.0,4.0,4.0,4.0,6.0,6.0
14. 10. 2014,0.0,0.0,0.0,0.0,3.0,2.0,5.0,5.0
15. 10. 2014,0.0,0.0,0.0,2.0,10.0,9.0,3.0,4.0
16. 10. 2014,0.0,0.0,0.0,3.0,5.0,3.0,3.0,3.0
17. 10. 2014,0.0,0.0,0.0,3.0,7.0,9.0,11.0,14.0
18. 10. 2014,0.0,0.0,1.0,3.0,8.0,4.0,1.0,2.0
19. 10. 2014,0.0,0.0,1.0,0.0,6.0,3.0,3.0,5.0
21. 10. 2014,0.0,0.0,3.0,5.0,4.0,1.0,3.0,3.0
22. 10. 2014,0.0,0.0,0.0,2.0,6.0,5.0,6.0,5.0
23. 10. 2014,0.0,0.0,0.0,1.0,10.0,7.0,0.0,3.0
24. 10. 2014,0.0,0.0,0.0,2.0,5.0,3.0,3.0,3.0
25. 10. 2014,0.0,1.0,0.0,0.0,2.0,4.0,2.0,2.0
26. 10. 2014,0.0,0.0,0.0,0.0,5.0,4.0,2.0,2.0
28. 10. 2014,0.0,3.0,1.0,9.0,6.0,7.0,4.0,5.0
29. 10. 2014,0.0,0.0,0.0,2.0,4.0,10.0,4.0,5.0
30. 10. 2014,0.0,2.0,0.0,4.0,4.0,6.0,4.0,6.0
31. 10. 2014,0.0,3.0,0.0,0.0,5.0,7.0,0.0,0.0
02. 11. 2014,0.0,1.0,0.0,5.0,7.0,6.0,1.0,1.0
04. 11. 2014,0.0,1.0,0.0,6.0,5.0,2.0,1.0,5.0
05. 11. 2014,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0
06. 11. 2014,0.0,0.0,0.0,10.0,8.0,4.0,1.0,2.0
07. 11. 2014,0.0,0.0,0.0,1.0,4.0,7.0,2.0,5.0
08. 11. 2014,0.0,0.0,0.0,0.0,6.0,7.0,1.0,0.0
09. 11. 2014,0.0,0.0,0.0,4.0,5.0,2.0,4.0,2.0
11. 11. 2014,2.0,0.0,0.0,0.0,3.0,8.0,1.0,2.0
12. 11. 2014,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0
13. 11. 2014,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
14. 11. 2014,0.0,0.0,0.0,0.0,4.0,4.0,2.0,1.0
15. 11. 2014,0.0,0.0,0.0,0.0,7.0,29.0,1.0,0.0
16. 11. 2014,1.0,0.0,0.0,13.0,11.0,6.0,3.0,2.0
18. 11. 2014,0.0,0.0,0.0,6.0,6.0,4.0,0.0,1.0
